GeneSymbol	Mix1	Mix2	Mix3	Mix4	Mix5
IGKV4-1	4318.00087197595	5388.8368210683	281.49219582745	2833.6297562066	14.39872698135
IGLL1	33.55434612858	30.13282272029	27.1270996191	25.54274387828	16.716988138
IGLL3P	8264.5554311255	9546.209545064	523.4823733382	5684.8633956144	102.6522586424
IGLV1-40	3275.679095938	4102.9475761872	344.0772169588	2328.1260666657	223.12275434
IGLV1-51	2900.89788183137	3889.53070043614	200.65554092129	1936.4331228318	25.34973776611
IGLV2-14	7224.294988192	8339.083391327	797.852925444	5247.780576889	531.83426967
IGLV3-10	1683.6310988573	2448.84181842325	144.16158935646	1045.94703621024	20.97409625608
IGLV3-19	2235.557264186	2927.1997144522	221.5330945427	1520.3215602967	114.3715724224
IGLV3-25	1245.22519030581	1795.42916927966	97.38019178141	775.93431129237	5.52109485819
IGLV4-60	711.2528637674	975.7123210714	82.4455675801	456.1487358518	32.2513091654
IGLV5-45	1737.38879888766	2378.65767394508	134.18312001835	1107.12833946334	11.56153235351
IGLV6-57	1232.7486898579	1701.8206589036	140.7481517686	813.5791951109	74.2639838191
IGSF1	140.7643503711	136.6222501418	108.7256963279	135.7775371266	114.6981923752
IGSF3	201.873647773	210.760265644	159.35439522	230.048975674	214.970745271
IGSF6	158.1303713595	345.9606335494	928.4227493352	940.1611007605	1784.0562294958
IGSF9B	148.646265755	124.6874567113	112.0579270171	147.4779740062	118.0742903807
IHH	188.6439575072	163.446195978	138.796808291	172.7436609719	131.0039447753
IK	2607.87286059	2590.72778283	2473.4378485	2301.87390121	2207.51578957
IKBKAP	242.242489218	254.028789848	226.179160695	211.0963890948	182.751982693
IKBKB	329.6580495372	337.8596493006	362.1168893524	293.8447131802	355.6263162
IKBKE	552.624795252	553.923189963	451.435100522	436.610708847	448.365333298
IKZF1	1126.434739041	1036.971921692	912.153833261	814.483247271	608.897307105
IKZF2	133.0656347339	103.8029794814	119.7412094153	120.182781557	97.1826800591
IKZF3	273.3809372995	207.3830979545	174.102630951	189.1810942994	84.0926578653
IKZF4	140.3332276791	151.657942867	114.2893548297	133.5644017704	127.0794228825
IKZF5	545.091690547	516.678005263	295.834209509	554.64504477	385.502689355
IL10	144.6065196101	189.2176068896	121.2449675471	139.7342122636	182.9588894888
IL10RA	3303.54215124	3638.597499822	4695.320607795	2023.360467921	3880.441071302
IL10RB	576.392741177	620.354991698	873.12045582	760.753912033	1067.668364312
IL11	82.8389791795	85.6093721236	82.4802030395	82.3804181035	82.9190344887
IL11RA	365.2178111304	394.6587546305	265.7691809219	181.1100114557	152.4029801527
IL12A	93.92175742952	99.8860956935	53.61787388911	90.82724247077	53.86443402044
IL12B	71.9082499495	83.1388055557	104.0855643197	150.3758341726	227.7967262563
IL12RB1	68.7684606728	68.2241058247	78.659105713	51.9570366737	47.508169815
IL12RB2	141.4025550255	154.4222487909	457.4983396133	31.3645980852	88.9313514044
IL13	188.1926610124	193.5976662028	138.5794879772	174.9875400073	132.926491058
IL13RA1	215.9427637532	327.5578934562	472.367872747	759.0912510257	1307.9852310177
IL13RA2	69.47217382417	65.58006890108	26.57434017345	68.8827045113	37.13164052753
IL15	141.1595559926	187.3540682101	259.6097898514	140.6939500415	268.628626676
IL15RA	260.3339105122	353.9495698369	552.6374900003	220.7309284303	611.5363135645
IL16	1073.488996619	1019.348213975	884.433393389	927.630457804	784.472932949
IL17A	35.68784176192	41.2393261758	21.22320366726	23.11052811293	16.35886807873
IL17B	7.68878785927	8.46743408109	9.34485388728	8.00455961671	9.35504467299
IL17RA	656.151213911	710.201545956	1008.659375754	973.607741291	1271.992049122
IL17RB	246.270130812	343.2066430095	300.1070288428	180.0870511675	273.3597565101
IL17RC	60.9629206882	77.1580074823	100.6277998371	66.0624917315	137.0838839519
IL18	29.31563621328	57.5383313466	120.15546802078	81.45851600693	177.17598782871
IL18R1	185.02348384922	239.86850173728	542.1280776095	571.1895256808	638.54652770118
IL18RAP	515.9935543639	624.2297752457	2589.1359392481	778.1256966343	1327.2269378457
IL19	184.6429947288	168.4248113046	111.1170263335	183.7036745781	114.1998216381
IL1A	118.5860616578	157.8320935876	145.6969692612	598.7965078486	607.7569205798
IL1B	309.749255251	424.965517604	686.4803813	2550.757818052	2542.146606522
IL1F5	106.3717296429	94.5134712987	112.3696978086	118.5061248004	118.7761474231
IL1F6	110.0534419463	123.6641116364	134.3911202365	122.2122092359	145.0169458122
IL1F7	8.06251385258	12.12284968291	11.76185368408	5.95909939687	9.61469992034
IL1F9	105.2233375252	105.7920290518	57.4515722337	114.927879642	79.4405959575
IL1R1	80.5430896543	116.7509187151	136.3013791743	151.3054983246	258.4800180109
IL1R2	73.4848893972	185.5171335382	170.4226811948	752.3272079021	1057.0888787905
IL1RAP	41.7026356169	64.4558190933	63.1202478645	178.7542113185	205.8291941338
IL1RAPL1	135.8653133962	124.1099329575	90.8651648652	151.390781759	114.8732735025
IL1RAPL2	628.3339345479	545.5730355208	241.7751618586	667.7571453413	335.980701212
IL1RL1	91.0020069612	120.2910514992	97.5960266343	339.6235075097	319.9227917018
IL1RL2	34.2194530333	49.1370958977	55.0703515442	53.0028837732	76.1372207085
IL1RN	243.668510629	428.4968143716	915.0888324624	502.5237270073	1381.850621883
IL2	28.37644515969	35.96209298002	21.62803771642	22.96647546519	19.7243475475
IL20RA	56.17734136939	48.20876078484	28.36482784817	57.4736686561	31.38515423623
IL21	247.6715936791	158.0970309667	143.5290006192	176.3293123503	108.2189735587
IL21R	280.93149359	316.6833769224	271.9318326207	162.6240228825	179.9904350121
IL22	245.7284892082	244.2502861164	138.5842493834	265.1377463309	181.65844014339999
IL22RA1	262.645581628	248.802539511	164.918183599	254.84104028	171.19261365
IL23A	289.3384263897	335.6371007204	172.8441234879	223.5040159002	167.6609526755
IL24	85.5031570348	89.5097468399	54.6754732116	75.9550766087	62.5910284697
IL25	69.4695163102	87.4872341888	43.3914863138	90.0573856668	79.7797737946
IL26	31.71983512057	38.14482541678	20.925434101	12.49182672295	8.54132576581
IL27RA	367.8235395066	402.0376273962	525.979693344	190.9989612346	242.28068599
IL2RA	632.4054757684	1076.6088786144	790.6530061038	249.5392503808	676.5988081404
IL2RB	3938.407324684	4129.519200316	9247.784478472	1355.201796394	2225.492135823
IL2RG	5527.276776471	4668.194646686	5603.108149343	3398.413449077	2713.374511753
IL3	115.02714194558	185.67980298566	69.70566076675	73.59918117305	53.61889582814
IL32	1867.1731219911	2149.316642802	1911.8587840071	422.9999376374	709.9048906226
IL33	36.46416097566	31.01213867034	24.59354493918	43.00460054722	31.0633558944
IL4	37.4844210165	40.78361003041	25.91554519259	25.88042586927	22.59479903504
IL4R	3033.202908713	3392.82510352	1344.43750706	3552.527911089	2000.509165757
IL5	26.66535388084	33.48008036074	29.80895057801	39.40821328087	42.92013151279
IL5RA	90.2876645689	106.9082002153	56.4876225686	203.3641051263	190.6059711983
IL6	225.0589057958	219.3499852927	273.3386412746	888.3414909952	847.9369821139
IL6R	427.8310946645	460.7017448794	359.6578766403	620.1730178868	731.5111183496
