From	To	Group	ratioScore
BMP7	ENG	g2	1
BMPR1A	Mast_cells	g1	1
BMPR1A	Mast_cells	g2	0
BMPR2	Macrophage	g1	0
BMPR2	Macrophage	g2	0.5
BMPR2	Mast_cells	g1	0
BMPR2	Mast_cells	g2	1
BMPR2	NK_cells	g1	1
BMPR2	NK_cells	g2	2
BST1	CAV1	g1	0
BST1	CAV1	g2	0
BTC	EGFR	g1	0
BTC	EGFR	g2	2
BTC	ERBB2	g1	0
BTC	ERBB2	g2	0
BTC	ERBB3	g1	0
BTC	ERBB3	g2	0.5
BTC	ERBB4	g1	0
BTC	ERBB4	g2	0.5
C14orf1	Macrophage	g1	0
C14orf1	Macrophage	g2	2
C14orf1	Mast_cells	g1	0
C14orf1	Mast_cells	g2	0
C14orf1	NK_cells	g1	0
C14orf1	NK_cells	g2	0.5
C1QA	CD93	g1	0
C1QA	CD93	g2	2
C1QA	CR1	g1	0
C1QA	CR1	g2	0.5
C1QA	CSPG4	g1	0
C1QA	CSPG4	g2	0
C1QB	LRP1	g1	0
C1QB	LRP1	g2	2
C1QTNF1	AVPR2	g1	1
C1QTNF1	AVPR2	g2	1
C3	C3AR1	g1	0
C3	C3AR1	g2	1
C3	C5AR2	g1	0
C3	C5AR2	g2	0.5
C3	CD19	g1	0
C3	CD19	g2	0
C3	CD46	g1	0
C3	CD46	g2	0.5
C3	CR1	g1	0
C3	CR1	g2	1
C3	ITGAM	g1	0
C3	ITGAM	g2	2
C3	ITGAX	g1	0
C3	ITGAX	g2	1
C3	ITGB2	g1	0
C3	ITGB2	g2	2
C3	LRP1	g1	1
C3	LRP1	g2	2
C3AR1	Eosinophils	g1	0
C3AR1	Eosinophils	g2	0
C3AR1	Macrophage	g1	0
C3AR1	Macrophage	g2	0
C3AR1	Mast_cells	g1	0
C3AR1	Mast_cells	g2	0.5
C4BPA	BMPR2	g1	0
C4BPA	BMPR2	g2	1
C4BPA	CD40	g1	1
C4BPA	CD40	g2	1
C4BPA	LRP1	g1	1
C4BPA	LRP1	g2	1
C5	C5AR1	g1	1
C5	C5AR1	g2	1
C5	C5AR2	g1	0
C5	C5AR2	g2	1
C5AR1	Eosinophils	g1	0
C5AR1	Eosinophils	g2	0
C5AR1	Macrophage	g1	0
C5AR1	Macrophage	g2	0
C5AR1	Mast_cells	g1	0
C5AR1	Mast_cells	g2	0.5
C5AR2	Eosinophils	g1	0
C5AR2	Eosinophils	g2	0
CALCA	CALCR	g1	1
CALCA	CALCR	g2	0
CALCA	CALCRL	g1	0
CALCA	CALCRL	g2	0
CALCA	RAMP1	g1	0
CALCA	RAMP1	g2	0
CALCA	RAMP2	g1	0
CALCA	RAMP2	g2	0
CALCB	CALCR	g1	1
CALCB	CALCR	g2	1
CALCB	CALCRL	g1	0
CALCB	CALCRL	g2	0.5
CALCB	RAMP1	g1	0
CALCB	RAMP1	g2	0.5
CALCRL	Mast_cells	g1	0
CALCRL	Mast_cells	g2	0.5
CALR	ITGA2B	g1	0
CALR	ITGA2B	g2	0
CALR	ITGA3	g1	1
CALR	ITGA3	g2	1
CALR	ITGAV	g1	0
CALR	ITGAV	g2	1
CALR	LRP1	g1	1
CALR	LRP1	g2	1
CALR	MTNR1A	g1	1
CALR	MTNR1A	g2	0
CALR	SCARF1	g1	0
CALR	SCARF1	g2	0
CALR	TSHR	g1	0.5
CALR	TSHR	g2	0
CAMP	FPR2	g1	1
CAMP	FPR2	g2	2
CANX	Eosinophils	g1	1
CANX	Eosinophils	g2	1
CANX	Macrophage	g1	0
CANX	Macrophage	g2	2
CANX	Mast_cells	g1	0
CANX	Mast_cells	g2	0
CANX	NK_cells	g1	0
CANX	NK_cells	g2	0.5
CCK	CCKAR	g1	1
CCK	CCKAR	g2	0
CCK	CCKBR	g1	1
CCK	CCKBR	g2	0
CCL1	CCR8	g1	0
CCL1	CCR8	g2	0.5
CCL11	CCR2	g1	0
CCL11	CCR2	g2	0
CCL11	CCR3	g1	0
CCL11	CCR3	g2	0.5
CCL11	CCR5	g1	0
CCL11	CCR5	g2	0
CCL11	CXCR3	g1	1
CCL11	CXCR3	g2	0
CCL13	CCR1	g1	1
CCL13	CCR1	g2	1
CCL13	CCR2	g1	0
CCL13	CCR2	g2	0
CCL13	CCR3	g1	0
CCL13	CCR3	g2	2
CCL13	CCR5	g1	1
CCL13	CCR5	g2	1
CCL13	CXCR3	g1	0
CCL13	CXCR3	g2	0
CCL14	CCR1	g1	1
CCL14	CCR1	g2	2
CCL14	CCR3	g1	0
CCL14	CCR3	g2	0.5
CCL14	CCR5	g1	1
CCL14	CCR5	g2	2
CCL15	CCR1	g1	0
CCL15	CCR1	g2	2
CCL15	CCR3	g1	0
CCL15	CCR3	g2	0.5
CCL16	CCR1	g1	1
CCL16	CCR1	g2	1
CCL16	CCR2	g1	0
CCL16	CCR2	g2	0
CCL16	CCR5	g1	1
CCL16	CCR5	g2	1
CCL16	CCR8	g1	0
CCL16	CCR8	g2	0.5
CCL16	HRH4	g1	1
CCL16	HRH4	g2	2
CCL17	CCR4	g1	0
CCL17	CCR4	g2	0
CCL17	CCR8	g1	0
CCL17	CCR8	g2	0.5
CCL17	DARC	g1	0
CCL17	DARC	g2	2
CCL18	C14orf1	g1	0
CCL18	C14orf1	g2	0.5
CCL19	CCR10	g1	0
CCL19	CCR10	g2	0
CCL19	CCR7	g1	0
CCL19	CCR7	g2	0
CCL19	CCRL2	g1	0
CCL19	CCRL2	g2	2
CCL19	CXCR3	g1	0
CCL19	CXCR3	g2	1
CCL2	CCR1	g1	0
CCL2	CCR1	g2	1
CCL2	CCR10	g1	0
CCL2	CCR10	g2	0
CCL2	CCR2	g1	0
CCL2	CCR2	g2	0
CCL2	CCR3	g1	0
CCL2	CCR3	g2	2
CCL2	CCR4	g1	0
CCL2	CCR4	g2	0
CCL2	CCR5	g1	0
CCL2	CCR5	g2	1
CCL2	DARC	g1	1
CCL2	DARC	g2	2
CCL20	CCR6	g1	0
CCL20	CCR6	g2	2
CCL20	CXCR3	g1	0
CCL20	CXCR3	g2	0
CCL21	CCR7	g1	1
CCL21	CCR7	g2	0
CCL21	CXCR3	g1	1
CCL21	CXCR3	g2	1
CCL22	CCR4	g1	0
CCL22	CCR4	g2	0
CCL23	CCR1	g1	1
CCL23	CCR1	g2	2
CCL24	CCR2	g1	0
CCL24	CCR2	g2	1
CCL24	CCR3	g1	0
CCL24	CCR3	g2	0.5
CCL25	CCR10	g1	0.5
CCL25	CCR10	g2	0
CCL25	CCR9	g1	0
CCL25	CCR9	g2	0
CCL27	CCR10	g1	0.5
CCL27	CCR10	g2	0
CCL4	CCR1	g1	1
CCL4	CCR1	g2	2
CCL4	CCR3	g1	0
CCL4	CCR3	g2	0.5
CCL4	CCR5	g1	1
CCL4	CCR5	g2	2
CCL4	CCR8	g1	0
CCL4	CCR8	g2	0
CCL5	CCR1	g1	1
CCL5	CCR1	g2	2
CCL5	CCR3	g1	0
CCL5	CCR3	g2	0.5
CCL5	CCR4	g1	0
CCL5	CCR4	g2	0
CCL5	CCR5	g1	1
CCL5	CCR5	g2	2
CCL5	CXCR3	g1	0
CCL5	CXCR3	g2	1
CCL5	DARC	g1	0
CCL5	DARC	g2	1
CCL5	GPR75	g1	0
CCL5	GPR75	g2	0
CCL5	SDC1	g1	0
CCL5	SDC1	g2	0
CCL5	SDC4	g1	1
CCL5	SDC4	g2	2
CCL7	CCR1	g1	1
CCL7	CCR1	g2	1
CCL7	CCR10	g1	0
CCL7	CCR10	g2	0
CCL7	CCR2	g1	0
CCL7	CCR2	g2	0
CCL7	CCR3	g1	0
CCL7	CCR3	g2	2
CCL7	CCR5	g1	1
CCL7	CCR5	g2	1
CCL7	CXCR3	g1	0
CCL7	CXCR3	g2	0
CCL7	DARC	g1	0
CCL7	DARC	g2	2
CCL8	CCR1	g1	0
CCL8	CCR1	g2	2
CCL8	CCR2	g1	0
CCL8	CCR2	g2	2
CCL8	CCR3	g1	0
CCL8	CCR3	g2	0.3333333333333333
CCL8	CCR5	g1	0
CCL8	CCR5	g2	2
CCL8	DARC	g1	0
CCL8	DARC	g2	0.5
CCR1	Eosinophils	g1	0
CCR1	Eosinophils	g2	1
CCR1	Macrophage	g1	0
CCR1	Macrophage	g2	0.5
CCR3	Eosinophils	g1	0
CCR3	Eosinophils	g2	0
CCR4	Eosinophils	g1	0.5
CCR4	Eosinophils	g2	0
CCR4	NK_cells	g1	0
CCR4	NK_cells	g2	0
CCR5	Macrophage	g1	0
CCR5	Macrophage	g2	0.5
CCR6	Eosinophils	g1	0
CCR6	Eosinophils	g2	0
CCR6	NK_cells	g1	0
CCR6	NK_cells	g2	0
CCR7	Eosinophils	g1	0.5
CCR7	Eosinophils	g2	0
CCR7	NK_cells	g1	0
CCR7	NK_cells	g2	0
CCRL2	Eosinophils	g1	0
CCRL2	Eosinophils	g2	1
CCRL2	Macrophage	g1	0
CCRL2	Macrophage	g2	0.5
CCRL2	Mast_cells	g1	0
CCRL2	Mast_cells	g2	1
CD14	ITGA4	g1	0
CD14	ITGA4	g2	0
CD14	ITGB1	g1	0
CD14	ITGB1	g2	0
CD151	Macrophage	g1	0
CD151	Macrophage	g2	0.5
CD151	Mast_cells	g1	0
CD151	Mast_cells	g2	1
CD160	NK_cells	g1	0
CD160	NK_cells	g2	0.5
CD177	Eosinophils	g1	0
CD177	Eosinophils	g2	0
CD180	Macrophage	g1	1
CD180	Macrophage	g2	1
CD27	NK_cells	g1	0
CD27	NK_cells	g2	0
CD28	Eosinophils	g1	0.5
CD28	Eosinophils	g2	0
CD28	NK_cells	g1	0
CD28	NK_cells	g2	0
CD34	SELL	g1	1
CD34	SELL	g2	2
CD36	Macrophage	g1	0
CD36	Macrophage	g2	0.5
CD4	Eosinophils	g1	1
CD4	Eosinophils	g2	1
CD4	Macrophage	g1	0
CD4	Macrophage	g2	0.5
CD4	Mast_cells	g1	0
CD4	Mast_cells	g2	1
CD4	NK_cells	g1	0
CD4	NK_cells	g2	2
CD40	Macrophage	g1	0
CD40	Macrophage	g2	0
CD40LG	CD40	g1	0.5
CD40LG	CD40	g2	0
CD44	Eosinophils	g1	1
CD44	Eosinophils	g2	1
CD44	Macrophage	g1	0
CD44	Macrophage	g2	0.5
CD44	Mast_cells	g1	0
CD44	Mast_cells	g2	1
CD44	NK_cells	g1	0
CD44	NK_cells	g2	2
CD46	Eosinophils	g1	0
CD46	Eosinophils	g2	0
CD46	Macrophage	g1	0
CD46	Macrophage	g2	0
CD46	Mast_cells	g1	0
CD46	Mast_cells	g2	0.5
CD46	NK_cells	g1	0
CD46	NK_cells	g2	0.5
CD47	Eosinophils	g1	0.5
CD47	Eosinophils	g2	0
CD47	Macrophage	g1	1
CD47	Macrophage	g2	0
CD47	Mast_cells	g1	1
CD47	Mast_cells	g2	0
CD47	NK_cells	g1	0
CD47	NK_cells	g2	0
CD5	Eosinophils	g1	0.5
CD5	Eosinophils	g2	0
CD5	NK_cells	g1	0
CD5	NK_cells	g2	0
CD53	Eosinophils	g1	0
CD53	Eosinophils	g2	1
CD53	Macrophage	g1	1
CD53	Macrophage	g2	2
CD53	Mast_cells	g1	1
CD53	Mast_cells	g2	0
CD53	NK_cells	g1	0
CD53	NK_cells	g2	0.5
CD55	CD97	g1	0
CD55	CD97	g2	1
CD55	CR1	g1	0
CD55	CR1	g2	2
CD5L	CD5	g1	1
CD5L	CD5	g2	0
CD63	Eosinophils	g1	0
CD63	Eosinophils	g2	1
CD63	Macrophage	g1	0
CD63	Macrophage	g2	0.5
