gene	sample	expression
ACE	s1	37.2681308472
ACE	s2	44.4250336696
ACE	s3	60.985855647
ACE	s4	39.8096957888
ACE	s5	133.6871050703
ACE2	s1	75.8984672902
ACE2	s2	61.4751585172
ACE2	s3	42.4266270603
ACE2	s4	79.679846777
ACE2	s5	57.3422090815
ACHE	s1	32.1129295929
ACHE	s2	74.5268792535
ACHE	s3	88.2404321504
ACHE	s4	26.2520614477
ACHE	s5	156.119247016
ACIN1	s1	456.834494493
ACIN1	s2	506.931998976
ACIN1	s3	486.612697759
ACIN1	s4	304.93455216
ACIN1	s5	384.612563573
ACLY	s1	822.465650322
ACLY	s2	901.915922253
ACLY	s3	966.194387298
ACLY	s4	737.067884024
ACLY	s5	869.678179114
ACN9	s1	152.5037624711
ACN9	s2	140.7376461671
ACN9	s3	112.6629674585
ACN9	s4	108.3937500774
ACN9	s5	74.360623448
ACO1	s1	568.983248564
ACO1	s2	580.704208198
ACO1	s3	571.327886589
ACO1	s4	602.412517277
ACO1	s5	629.937445593
ACO2	s1	1071.320549715
ACO2	s2	1298.397959154
ACO2	s3	1076.133196601
ACO2	s4	792.703465701
ACO2	s5	887.825888647
ACOT11	s1	120.5685984025
ACOT11	s2	127.753781951
ACOT11	s3	133.7546996291
ACOT11	s4	173.1845977094
ACOT11	s5	194.0600994674
ACOT13	s1	500.996389519
ACOT13	s2	597.642405735
ACOT13	s3	773.229984091
ACOT13	s4	460.002535245
ACOT13	s5	772.387630789
ACOT7	s1	248.799265153
ACOT7	s2	303.828862138
ACOT7	s3	306.474931852
ACOT7	s4	229.686555041
ACOT7	s5	319.611396847
ACOT8	s1	511.776870376
ACOT8	s2	450.963328472
ACOT8	s3	386.982414465
ACOT8	s4	466.002140278
ACOT8	s5	360.186646821
ACOT9	s1	327.2950480886
ACOT9	s2	478.81983669
ACOT9	s3	605.508061417
ACOT9	s4	806.2043599169
ACOT9	s5	1136.551365337
ACOX1	s1	177.903124509
ACOX1	s2	212.936041054
ACOX1	s3	308.723258409
ACOX1	s4	389.390567042
ACOX1	s5	526.080427244
ACOX2	s1	60.5360428001
ACOX2	s2	72.0899528255
ACOX2	s3	60.9638345543
ACOX2	s4	49.0180488577
ACOX2	s5	47.8360352567
ACOX3	s1	160.8639031332
ACOX3	s2	184.8077350525
ACOX3	s3	183.2333268302
ACOX3	s4	132.3780139973
ACOX3	s5	179.8659729672
ACOXL	s1	5.71412932739
ACOXL	s2	5.85605110904
ACOXL	s3	9.93484629412
ACOXL	s4	4.29353499021
ACOXL	s5	7.22173327873
ACP1	s1	839.198829116
ACP1	s2	840.441713701
ACP1	s3	669.274839078
ACP1	s4	587.826880343
ACP1	s5	449.538321679
ACP2	s1	633.514018392
ACP2	s2	862.290146493
ACP2	s3	1005.31143116
ACP2	s4	579.456606518
ACP2	s5	1416.487279274
ACP5	s1	1045.560791146
ACP5	s2	1250.323739419
ACP5	s3	1919.918370275
ACP5	s4	1148.43253366
ACP5	s5	3095.048626525
ACP6	s1	511.517418486
ACP6	s2	526.976848294
ACP6	s3	437.050394805
ACP6	s4	489.916602273
ACP6	s5	468.411260658
ACPP	s1	154.2266090289
ACPP	s2	223.9009638022
ACPP	s3	178.1258799514
ACPP	s4	531.1329649221
ACPP	s5	613.6363836728
ACRV1	s1	512.038092148
ACRV1	s2	456.080728073
ACRV1	s3	255.52794886
ACRV1	s4	530.5935332
ACRV1	s5	322.648207538
ACSBG1	s1	107.4136709616
ACSBG1	s2	103.5215113851
ACSBG1	s3	57.9665218215
ACSBG1	s4	116.3716250614
ACSBG1	s5	84.693216271
ACSBG2	s1	236.1361923794
ACSBG2	s2	200.1169143013
ACSBG2	s3	117.9573288829
ACSBG2	s4	242.2768490923
ACSBG2	s5	142.6575522345
ACSF2	s1	60.43801750057
ACSF2	s2	70.5838313695
ACSF2	s3	78.56811488629
ACSF2	s4	72.5351810128
ACSF2	s5	97.83354794286
ACSL1	s1	339.513013375
ACSL1	s2	562.632092793
ACSL1	s3	1015.709892154
ACSL1	s4	2191.546370705
ACSL1	s5	3061.950783166
ACSL3	s1	257.801082709
ACSL3	s2	293.452934591
ACSL3	s3	347.568608934
ACSL3	s4	292.557818033
ACSL3	s5	398.416973154
ACSL5	s1	655.612094625
ACSL5	s2	615.914558513
ACSL5	s3	665.245459006
ACSL5	s4	547.624281522
ACSL5	s5	490.103309253
ACSL6	s1	164.2177491757
ACSL6	s2	133.5770056927
ACSL6	s3	85.4222130078
ACSL6	s4	115.8791436985
ACSL6	s5	63.4790498405
ACSM1	s1	8.25721702269
ACSM1	s2	11.90427081113
ACSM1	s3	8.55971647683
ACSM1	s4	6.9615104483
ACSM1	s5	8.37335400694
ACSM3	s1	89.1630865702
ACSM3	s2	100.8060561964
ACSM3	s3	73.1602560401
ACSM3	s4	124.1879817276
ACSM3	s5	121.4832287474
ACSM5	s1	140.2059158987
ACSM5	s2	129.1412540794
ACSM5	s3	90.7499139787
ACSM5	s4	144.3565193608
ACSM5	s5	126.1055755156
ACSS3	s1	227.977935306
ACSS3	s2	216.026144038
ACSS3	s3	154.570525091
ACSS3	s4	237.1437277235
ACSS3	s5	171.378315833
ACTA1	s1	31.72156948804
ACTA1	s2	40.9779673977
ACTA1	s3	41.13120580021
ACTA1	s4	33.26078679762
ACTA1	s5	50.71425984146
ACTA2	s1	392.023434229
ACTA2	s2	451.064323177
ACTA2	s3	517.901974805
ACTA2	s4	353.864091528
ACTA2	s5	492.27383393
ACTB	s1	18271.7421929
ACTB	s2	18205.5207989
ACTB	s3	24549.0370161
ACTB	s4	17408.3443839
ACTB	s5	22578.5065305
ACTC1	s1	239.2100405818
ACTC1	s2	227.683489779
ACTC1	s3	204.3578884086
ACTC1	s4	249.574474956
ACTC1	s5	247.3172889144
ACTG1	s1	18904.5802138
ACTG1	s2	18468.399234
ACTG1	s3	21421.8520767
ACTG1	s4	17051.3792579
ACTG1	s5	18516.6362554
ACTG2	s1	166.2180743292
ACTG2	s2	179.932531904
ACTG2	s3	175.9723043154
ACTG2	s4	162.060484023
ACTG2	s5	176.3743335346
ACTL6A	s1	325.7043323008
ACTL6A	s2	346.3622204073
ACTL6A	s3	363.1255483989
ACTL6A	s4	236.7389444361
ACTL6A	s5	250.2571195331
ACTL6B	s1	8.08056684191
ACTL6B	s2	8.60103462945
ACTL6B	s3	8.24531834512
ACTL6B	s4	8.1968992871
ACTL6B	s5	8.76111651993
ACTL7A	s1	14.08363257271
ACTL7A	s2	15.80861302936
ACTL7A	s3	14.55725386051
ACTL7A	s4	15.40271361654
ACTL7A	s5	17.25097990621
ACTL7B	s1	20.86608584532
ACTL7B	s2	22.70368994662
ACTL7B	s3	17.90667397716
ACTL7B	s4	28.4002770353
ACTL7B	s5	26.33590934094
ACTL8	s1	21.3145985868
ACTL8	s2	23.442682391599998
ACTL8	s3	25.5899360839
ACTL8	s4	23.0412268978
ACTL8	s5	34.8637358278
ACTN1	s1	682.8589902663
ACTN1	s2	782.0907959599
ACTN1	s3	776.6808396851
ACTN1	s4	1289.0663890238
ACTN1	s5	1789.544053453
ACTN2	s1	83.1980610126
ACTN2	s2	84.980047497
ACTN2	s3	53.5076452811
ACTN2	s4	82.5833651776
ACTN2	s5	65.1972053146
ACTN3	s1	144.5205250102
ACTN3	s2	140.8507432229
ACTN3	s3	114.5107729628
ACTN3	s4	160.4710531633
ACTN3	s5	139.3172332905
ACTN4	s1	611.048256275
