Node	Group	UpBinRatio
AGER	g1	1
AGER	g2	0.5
AGFG1	g1	0
AGFG1	g2	1
AGFG2	g1	1
AGFG2	g2	0.5
AGGF1	g1	0.5
AGGF1	g2	1
AGK	g1	1
AGK	g2	0.5
AGL	g1	0.5
AGL	g2	1
AGPAT1	g1	1
AGPAT1	g2	0.5
AGPAT2	g1	0.5
AGPAT2	g2	1
AGPAT3	g1	0.5
AGPAT3	g2	1
AGPAT4	g1	0.5
AGPAT4	g2	1
AGPAT5	g1	1
AGPAT5	g2	0.5
AGPS	g1	0.5
AGPS	g2	1
AGR2	g1	0
AGR2	g2	1
AGRN	g1	1
AGRN	g2	0.6666666666666666
AGRP	g1	1
AGRP	g2	0.5
AGT	g1	1
AGT	g2	0.5
AGTPBP1	g1	0
AGTPBP1	g2	1
AGTR1	g1	1
AGTR1	g2	0.5
AGTR2	g1	1
AGTR2	g2	0.5
AGXT	g1	1
AGXT	g2	0.5
AGXT2L1	g1	1
AGXT2L1	g2	0.5
AHCTF1	g1	0.5
AHCTF1	g2	1
AHCY	g1	1
AHCY	g2	0.5
AHCYL1	g1	0.5
AHCYL1	g2	1
AHCYL2	g1	1
AHCYL2	g2	0.5
AHDC1	g1	1
AHDC1	g2	0.5
AHI1	g1	1
AHI1	g2	0.5
AHNAK	g1	1
AHNAK	g2	0.5
AHNAK2	g1	1
AHNAK2	g2	0.5
AHR	g1	0
AHR	g2	1
AHSA1	g1	0.5
AHSA1	g2	1
AHSG	g1	0.5
AHSG	g2	1
AHSP	g1	0.5
AHSP	g2	1
AICDA	g1	1
AICDA	g2	0.5
AIF1	g1	0
AIF1	g2	1
AIFM1	g1	1
AIFM1	g2	0.5
AIM1	g1	1
AIM1	g2	0.5
AIM1L	g1	1
AIM1L	g2	0.5
AIM2	g1	1
AIM2	g2	0.5
AIMP1	g1	1
AIMP1	g2	0.5
AIMP2	g1	1
AIMP2	g2	0.6666666666666666
AIP	g1	1
AIP	g2	0.5
AIPL1	g1	1
AIPL1	g2	0.5
AIRE	g1	1
AIRE	g2	0.5
AJAP1	g1	1
AJAP1	g2	0.5
AK1	g1	1
AK1	g2	0.5
AK2	g1	1
AK2	g2	0.5
AK5	g1	1
AK5	g2	0.5
AKAP1	g1	1
AKAP1	g2	0.5
AKAP10	g1	0.5
AKAP10	g2	1
AKAP11	g1	1
AKAP11	g2	0.5
AKAP12	g1	1
AKAP12	g2	0.6666666666666666
AKAP13	g1	1
AKAP13	g2	0.5
AKAP3	g1	0.5
AKAP3	g2	1
AKAP4	g1	0
AKAP4	g2	1
AKAP5	g1	1
AKAP5	g2	0.5
AKAP6	g1	0
AKAP6	g2	1
AKAP7	g1	1
AKAP7	g2	0.5
AKAP8	g1	1
AKAP8	g2	0.5
AKAP8L	g1	1
AKAP8L	g2	0.5
AKAP9	g1	0.5
AKAP9	g2	1
AKIRIN1	g1	0.5
AKIRIN1	g2	1
AKR1A1	g1	0.5
AKR1A1	g2	1
AKR1B1	g1	1
AKR1B1	g2	0.5
AKR1B10	g1	1
AKR1B10	g2	0.5
AKR1C1	g1	1
AKR1C1	g2	0.6666666666666666
AKR1C2	g1	1
AKR1C2	g2	0.5
AKR1C3	g1	0.5
AKR1C3	g2	1
AKR1C4	g1	1
AKR1C4	g2	0.5
AKR1D1	g1	1
AKR1D1	g2	0.5
AKR7A2	g1	1
AKR7A2	g2	0.5
AKR7A3	g1	1
AKR7A3	g2	0.5
AKT1	g1	0
AKT1	g2	1
AKT2	g1	1
AKT2	g2	0.5
AKT3	g1	1
AKT3	g2	0.5
AKTIP	g1	1
AKTIP	g2	0.5
ALAD	g1	0.5
ALAD	g2	1
ALAS1	g1	0
ALAS1	g2	1
ALAS2	g1	1
ALAS2	g2	0.5
ALB	g1	1
ALB	g2	0.5
ALCAM	g1	0
ALCAM	g2	1
ALDH18A1	g1	1
ALDH18A1	g2	0.5
ALDH1A1	g1	0
ALDH1A1	g2	1
ALDH1A2	g1	1
ALDH1A2	g2	0.6666666666666666
ALDH1A3	g1	0.5
ALDH1A3	g2	1
ALDH1B1	g1	1
ALDH1B1	g2	0.5
ALDH1L1	g1	1
ALDH1L1	g2	0.5
ALDH2	g1	0
ALDH2	g2	1
ALDH3A1	g1	0.5
ALDH3A1	g2	1
ALDH3A2	g1	0.5
ALDH3A2	g2	1
ALDH3B1	g1	0
ALDH3B1	g2	1
ALDH3B2	g1	1
ALDH3B2	g2	0.5
ALDH4A1	g1	0
ALDH4A1	g2	1
ALDH5A1	g1	1
ALDH5A1	g2	0.5
ALDH6A1	g1	1
ALDH6A1	g2	0.5
ALDH7A1	g1	1
ALDH7A1	g2	0.5
ALDH8A1	g1	1
ALDH8A1	g2	0.5
ALDH9A1	g1	0.5
ALDH9A1	g2	1
ALDOA	g1	0.5
ALDOA	g2	1
ALDOB	g1	1
ALDOB	g2	0.5
ALDOC	g1	1
ALDOC	g2	0.5
ALG12	g1	1
ALG12	g2	0.5
ALG13	g1	1
ALG13	g2	0.5
ALG3	g1	1
ALG3	g2	0.5
ALG5	g1	1
ALG5	g2	0.5
ALG6	g1	1
ALG6	g2	0.5
ALG8	g1	1
ALG8	g2	0.5
ALG9	g1	1
ALG9	g2	0.5
ALK	g1	1
ALK	g2	0.5
ALKBH1	g1	1
ALKBH1	g2	0.5
ALKBH4	g1	0.5
ALKBH4	g2	1
ALLC	g1	1
ALLC	g2	0.6666666666666666
ALMS1	g1	1
ALMS1	g2	0.5
ALOX12	g1	0
ALOX12	g2	1
ALOX12B	g1	1
ALOX12B	g2	0.6666666666666666
ALOX12P2	g1	0.5
ALOX12P2	g2	1
ALOX15	g1	1
ALOX15	g2	0.6666666666666666
ALOX15B	g1	0
ALOX15B	g2	1
ALOX5	g1	0.5
ALOX5	g2	1
ALOX5AP	g1	0
ALOX5AP	g2	1
ALOXE3	g1	0.5
ALOXE3	g2	1
ALPI	g1	1
ALPI	g2	0.5
ALPK3	g1	1
ALPK3	g2	0.5
ALPL	g1	1
ALPL	g2	0.6666666666666666
ALPP	g1	1
ALPP	g2	0.5
ALPPL2	g1	1
ALPPL2	g2	0.6666666666666666
ALS2CL	g1	1
ALS2CL	g2	0.5
ALS2CR8	g1	1
ALS2CR8	g2	0.5
ALX1	g1	0.5
ALX1	g2	1
ALX3	g1	1
ALX3	g2	0.5
ALX4	g1	1
ALX4	g2	0.5
AMACR	g1	0
AMACR	g2	1
AMBN	g1	1
AMBN	g2	0.5
AMBP	g1	0
AMBP	g2	1
AMBRA1	g1	1
AMBRA1	g2	0.5
AMD1	g1	0.5
AMD1	g2	1
AMDHD2	g1	1
AMDHD2	g2	0.6666666666666666
AMELX	g1	0
AMELX	g2	1
AMELY	g1	1
AMELY	g2	0.5
AMFR	g1	1
AMFR	g2	0.5
AMH	g1	1
