gene	CD4 T cells GSM723848	CD4 T cells GSM900542	CD4 T cells GSM372728	CD4 T cells GSM900581	CD8 T cells GSM1027255	CD8 T cells GSM146189	CD8 T cells GSM372814	CD8 T cells GSM1027250	NK cells GSM687248	NK cells GSM687245	NK cells GSM705426	NK cells GSM687244	B cells GSM746745	B cells GSM705406	B cells GSM658012	B cells GSM746748	Neutrophils GSM322292	Neutrophils GSM214983	Neutrophils GSM422128	Neutrophils GSM211084	Monocytes GSM422113	Monocytes GSM940516	Monocytes GSM940510	Monocytes GSM189451	Macrophages GSM411210	Macrophages GSM411215	Macrophages GSM411191	Macrophages GSM411197	Dendritic cells GSM140973	Dendritic cells GSM140953	Dendritic cells GSM128975	Dendritic cells GSM128972	Fibroblast GSM486528	Fibroblast GSM486532	Fibroblast GSM841027	Fibroblast GSM418757	Endothelium GSM143729	Endothelium GSM244653	Endothelium GSM244649	Endothelium GSM143732	clear-cell renal cell carcinoma GSM102459	clear-cell renal cell carcinoma GSM277700	clear-cell renal cell carcinoma GSM231984	clear-cell renal cell carcinoma GSM203801	low grade glioma GSM405331	low grade glioma GSM405318	low grade glioma GSM405399	low grade glioma GSM97842	breast adenocarcinoma ML_132D_U133_2	breast adenocarcinoma GSM585358	breast adenocarcinoma DB_66_U133_2	breast adenocarcinoma GSM137936
210847_x_at	7.046220491070419	8.081538905509783	9.125249701433848	9.040303019717728	7.602432872408249	6.497607749443908	7.002765618723666	7.877885562086653	5.230427047745585	4.802180122190662	6.084949993228085	4.156778009663171	5.225622320851505	4.708479094752865	5.657266835226676	5.0927219582709595	5.365452136259587	5.825176585679591	5.476204598817874	4.822013822773444	5.004664161639399	5.159891286031486	5.184604684723298	5.693395526733451	5.333107414934559	5.163251293231193	4.590939177343965	5.5311278253370695	5.52859265788932	5.143236781450676	5.785550061663617	5.481790424382542	5.003020335115447	5.036397476818118	5.648817014809935	5.188660998872813	5.6283857862969295	5.550784099710584	5.557066366210564	5.608632174322249	5.376787356202058	6.049234817573342	6.526908660837933	5.418123807320869	4.578507422349692	4.654644513082239	4.780724961142058	4.459792051331578	4.857695687643407	6.249582269433088	6.275508725463689	5.347912886671133
211282_x_at	7.466547352343132	7.948128556702933	7.72538452616974	8.377393764151467	7.583629817823193	7.23922264168089	6.914338697046615	7.576970924890554	6.364931674046299	6.165409857986553	6.97609800233284	6.341501052628218	6.287456438606728	6.197004565393046	6.6432083284189325	6.148681913691012	6.7521073692547295	6.863807101421846	6.301913658206503	6.184291502192124	6.500625837175024	6.217198562717873	6.30737333821202	6.5286374560129214	6.526235463280887	6.379248156951066	6.498676977178139	6.376145076826694	6.632439885995043	6.283809938381403	5.862742840041873	6.026280073075458	5.6843035527510954	5.466786157350275	5.974389172743215	5.892094548634992	6.462333975397101	6.495378864340525	6.566564364359073	6.711427741283725	6.36662293246778	6.518971592386764	7.297568418187776	6.703874106084337	5.815245152888685	5.918106160278646	5.701421315449868	5.547116737501387	6.03008491122282	6.854578027669651	6.333435064364933	6.328941563081205
211841_s_at	6.99821885325414	7.836584223146632	7.605609528980753	8.213585878271163	7.345051624882057	6.706370403343825	6.3376513734473665	7.324775589328771	5.661250436690143	5.5089298707639145	6.161725308904206	5.992114326843612	6.22891416322274	5.443153749017017	5.955729206976218	6.404004036340026	6.195106422765483	6.460869322092925	5.78952602358929	5.4573383168784435	6.0470608248917	6.068697478529647	6.4465524124856834	6.056653671956428	6.131936413392949	5.890754303119692	6.041996158178141	6.0357244754085615	6.145517355799543	6.010734845101815	5.77847952330544	5.835968965153827	5.479256859115909	5.785891808089152	5.650762475823564	6.0255589216449215	6.172156916540217	6.42781578057524	6.353451271994355	6.498413077121358	5.83883240602412	6.347298739162304	7.166434477590516	6.266498709860509	5.164069537805721	5.54756822179088	5.482661491480061	5.402502544809349	5.565040911653387	6.341156164065871	5.7090758559781225	5.927614656935689
211861_x_at	6.253855429479417	4.368225209111314	3.87064854057276	5.135440681302431	5.571833867805262	4.566231616922703	3.7128069331883005	5.641102494964552	3.7881408556045106	3.727961838639427	3.5152650143348687	3.5579435942998274	3.540012227552814	4.018615234966849	3.6103275951620137	4.10293809140269	3.8299795555253615	4.583015007728724	3.775482062378027	3.5373018984232893	3.5953692979621494	3.6286270655882804	3.7897438991716017	3.7351220283107467	3.7529128752441285	3.650944234909373	3.5209580094434823	3.640451945945802	3.5194461777172243	3.5230429471671836	3.4620473031594177	3.8856608130977577	3.3494370899285135	3.4254801382293336	3.4564246095201767	3.4374675553443357	3.710293930430815	3.570857647288401	3.4140303987694294	3.757896887918029	3.71671811349423	3.6098589511403985	3.4432050077972143	3.688089053990142	3.715539812723657	3.5156590640439696	3.217957313835537	3.7272924410303965	3.5357974393399947	3.50296842043917	3.5294627905394185	3.4994128641451776
213539_at	12.371879396949588	12.013009486984796	11.235179938136524	11.73301741861422	12.405501986742712	11.830679678999369	10.9758291969663	12.003409971211731	7.193657814413079	6.7346716615806574	7.104852575802098	7.05187175363333	6.458221406124864	5.928613164150889	8.981118406142548	7.190621392167693	7.599664627029257	10.692930652635082	7.076245201158439	6.498057815431719	6.566554389684199	6.803721795708219	7.904649132139343	8.819306670616685	6.6435274598102705	6.345310631862725	6.662364803908608	6.531904204062481	7.441492847903202	7.669647715607299	6.587955240395681	6.530612499500192	5.719737357938212	5.644538021014602	6.230920632904338	6.153589647866446	6.300351163362455	5.5773799738595216	5.944466646104819	6.211616988746823	7.365557052144582	8.383377649159716	7.492682471592344	6.839172178877697	5.703167675125439	6.130228766427941	5.666651967979057	5.967477828633656	6.841693827660434	7.2598041524063754	8.425955236261379	7.0315064536100165
213958_at	9.348926321635771	10.714821840665662	11.177437346480046	10.627183791166832	10.424943976455207	10.537312158890522	10.556985437885661	10.05202617862662	6.85875621272161	6.690398169055299	9.222914464147694	6.760678011260691	8.253524392792468	7.71300562860122	8.329126545313564	7.846430987640856	7.465464323392789	9.568198716818422	7.341964616189019	7.022018307506064	7.466988157722848	7.623943341976828	7.541350528527014	8.040156996369182	7.628921555002802	7.542015501434743	7.412808717057202	7.121714386286578	7.633033811909759	7.394327481590033	6.945157480961077	7.1150286961546865	6.846856782387003	6.497833068803815	7.205428873572731	7.2288214518817	6.993792264159196	6.498047238869368	6.722666364547782	7.007114936549761	7.8924579453723025	7.495345227803131	7.504452952146255	7.394265992447359	6.199809104916852	6.70362134489579	6.273566902609268	6.901751189519429	6.887761605595382	8.301887013497916	7.54189327339043	7.515975162956931
215796_at	8.080403678003723	5.204244759391975	4.123474285918701	6.913965843628282	7.053007463314612	4.431745758468441	4.598975907084334	7.22699783887278	3.640726089496351	3.6186811932837664	3.1475229795526882	3.6561481171609556	3.2650767407819536	3.405562145036505	3.7854620163451704	3.6366062181823917	3.4515196816357863	3.672193438848611	3.365864404439241	3.2481862479813235	3.258196326631623	3.3447876417204765	3.6357127275229923	3.9935244202274878	3.437900012654722	3.3467417627779668	3.4656080907865934	3.2855475661457976	3.4485391059721073	3.511307477979896	3.2900636907998253	3.48668912325102	3.3746499944534887	3.577102251016392	3.394755723591145	3.3659986730282943	3.3049366553191892	3.404719947109782	3.318036110086193	3.606558572093762	3.097218403088169	3.496477066232776	3.3247922006213626	3.266078289164114	3.3817403161454065	3.091461996934632	3.0457494656254607	3.396460369116708	3.2977436454601357	3.278334206300312	3.703622205471817	3.3683537939059978
217147_s_at	10.220790271987166	9.885979972920579	10.762141560670388	10.13502382209849	10.001671155486799	8.82867352945186	8.742390519403928	10.986195655963796	5.97270079632501	4.873068836580874	4.256527965730517	4.028373358202254	3.219140639637429	3.4823951138054086	5.6317111330663465	3.4919559680260592	4.227668809323354	6.902552789014507	3.8501498224446182	3.4204122811738453	3.1599535172485127	3.6620553567667242	5.40340608956025	6.140566382557203	3.3273278022153576	3.338666921614368	3.288172400600262	3.3776478091529385	4.476175296962688	4.163195231461348	3.451926439358445	3.539332196639147	3.2631107195439495	3.3312072433684894	3.369697614247988	3.4326769900686047	3.1819460123874785	3.0167572551692037	3.14140288828831	2.969644757631601	3.680551595007783	4.4266586426961485	3.207107698295144	3.8325169075125984	3.2464464252587737	3.139763289607751	2.9693962202506285	3.377501673219374	3.430388972889993	4.024538573506141	4.585541642067327	3.633665130875784
219423_x_at	7.440604334358997	8.730942358357483	9.46573760403712	9.565491414425935	8.12077465281595	6.9266881607100474	7.455339233736259	8.29364016566823	5.591507669144679	5.194076932525113	6.003912549757672	4.174403662603688	4.588231765843819	4.757317113777102	6.384427361976669	5.1989219283553485	4.5968289834186935	6.374683347342704	5.1665837818449445	5.111495530656179	4.9051311760199425	5.220889960168805	5.891459832591272	6.2308098486244186	4.964766814223003	4.790596080625835	4.578595647610209	5.118368019452811	5.608979923946339	5.728673691403247	5.462009009151578	5.553522865503643	5.208641284409959	5.341703615872932	5.371772230746975	4.957808076885824	5.69920885936249	6.085935897739366	6.072547387437981	5.975433758187875	5.689141625019461	6.734161390786674	6.849168179297531	6.17228337490212	4.495641097805509	4.26093383943496	5.2166069902393755	4.545338287817769	5.281578140460571	6.940532681738309	5.951549166592415	5.219363167915911
220485_s_at	7.7662274033006895	8.853824183892755	7.736786073181151	7.383530378890733	8.912313211979198	8.645835284199784	6.09152339666535	7.35811364894255	6.355159135638492	5.071107685412356	4.243073517868585	5.20190359039604	4.163385663477517	4.164173153552373	5.262828532356435	3.9846858731583685	5.0659298907291195	5.754579284370829	5.156342438820313	4.5014151288081345	4.152412372284156	4.50994104381652	4.820486693040398	4.575132025027458	4.657013674011386	4.76596988784208	4.74420339257036	4.515503801851261	4.218781495022647	4.454060016062476	4.59888889358115	4.959569227670229	4.6269279004593	4.1276694199229595	4.44061195513139	3.933819385242812	3.8965701171467244	4.068325220977161	4.138279341706167	3.910003711971476	4.268332256893432	4.564444967824632	4.551291402416287	3.9808229492079046	3.783895365980187	3.7315717217194364	3.5510008343246207	4.333789907964677	4.040098861255343	5.2148736264756845	4.78947133883382	4.556818595249411
