Hugo	test_sample1	test_sample2
AC005519.4	3.40386	0
AC005522.6	0	0
AC005522.7	0	0
AC005523.2	2.11181	1.51685
AC005523.3	0	0
AC005532.5	0	0
AC005534.6	0	0
AC005534.8	0	0
AC005537.2	0	0
AC005538.1	0	0
AC005538.3	2.33308	2.27324
AC005538.5	0	0
AC005539.2	0	0
AC005540.1	357.455	0
AC005540.3	9.82203	0.126742
AC005546.2	0	0
AC005549.1	0	0
AC005549.2	0	0
AC005550.3	0	0
AC005550.5	0	0
AC005559.3	0	0
AC005562.1	5.49321	3.72228
AC005562.2	0	0
AC005578.3	0	0
AC005588.2	0	0
AC005592.1	0	0
AC005592.2	0	0
AC005592.3	0	0
AC005593.2	0	0
AC005597.1	0	0
AC005599.1	0	0
AC005606.14	6.5756	5.9491
AC005606.15	13.739	30.7616
AC005609.16	0	0
AC005609.17	0	0
AC005609.18	0	0
AC005609.19	0	0
AC005609.2	0	0
AC005609.20	0	0
AC005614.3	1.21908	1.09581
AC005614.5	0	0
AC005616.1	0	0
AC005616.2	0	0
AC005618.6	0	0
AC005618.8	0	0
AC005618.9	0	0
AC005621.1	0	0
AC005624.2	0	0
AC005625.1	0	0
AC005626.3	0	0
AC005631.1	0	0
AC005668.1	221.081	0
AC005682.5	0	0
AC005682.6	0	0
AC005686.1	0	0
AC005701.1	0	0
AC005702.1	131.276	255.819
AC005702.2	0	0
AC005702.3	267.675	0
AC005702.4	131.276	255.819
AC005703.2	0	0
AC005703.3	0	0
AC005722.4	0	0
AC005725.1	0	0
AC005730.2	0	0
AC005740.3	0	0
AC005740.4	0	17.2043
AC005740.5	18.3184	0
AC005740.6	0	0
AC005741.2	0	0
AC005752.10	0	0
AC005753.1	0	0
AC005754.7	0	0
AC005754.8	0	0
AC005757.6	0	0
AC005757.7	0	0
AC005758.1	0	0
AC005772.2	0	0
AC005775.2	0	0
AC005776.1	0	0
AC005777.3	0	0
AC005779.2	0	0
AC005780.1	0	0
AC005783.1	0	0
AC005785.2	0	0
AC005785.5	0	0
AC005786.3	0	0
AC005786.5	0	0
AC005786.6	4.0213	0
AC005786.7	29.2445	45.8299
AC005789.9	0	0
AC005794.1	0	0
AC005795.1	0	0
AC005796.2	0	0
AC005808.3	0	0
AC005822.1	0	0
AC005828.1	0	0
AC005838.2	0	0
AC005863.1	0	0
AC005863.2	0	0
AC005901.1	0	0
AC005915.1	0	0
AC005926.1	0	0
AC005932.1	0	0
AC005943.2	13.3764	7.82293
AC005943.6	0	0
AC005944.2	149.766	150.161
AC005954.3	0	0
AC005954.4	0	0
AC006000.5	0	0
AC006003.3	0	0
AC006004.1	0	0
AC006007.1	0	0
AC006011.4	11.386	0
AC006014.7	0	0
AC006014.8	7.94151	11.083
AC006019.1	0	0
AC006019.3	0	0
AC006019.4	0	0
AC006022.4	0	0
AC006026.1	0	0
AC006026.12	0	0
AC006026.13	0	0
AC006026.2	0	0
AC006026.9	0	0
AC006028.11	0	0
AC006033.22	0	0
AC006037.2	0	0
AC006041.1	0	0
AC006042.6	0	0
AC006042.7	0	0
AC006042.8	0	0
AC006050.2	0	0
AC006070.12	0	0
AC006076.1	0	0
AC006077.3	0	0
AC006077.4	0	0
AC006088.1	0	0
AC006115.1	0	0
AC006115.6	0	0
AC006116.1	0	0
AC006116.12	0	0
AC006116.13	0	0
AC006116.14	0	0
AC006116.15	0	0
AC006116.17	0	0
AC006116.19	0	0
AC006116.20	0	0
AC006116.21	0	0
AC006116.22	0	0
AC006116.24	0	0
AC006116.27	6.9741	6.79523
AC006126.3	0	0
AC006126.4	0	0
AC006128.2	7.7177	5.01317
AC006129.1	0	0
AC006129.2	68.61052000000001	58.4918
AC006129.3	0	0
AC006130.1	0	0
AC006130.3	0	0
AC006130.4	0	0
AC006133.3	0	0
AC006133.7	0	0
AC006145.1	0	0
AC006145.4	0.878466	1.71187
AC006150.1	0	0
AC006150.2	0	0
AC006153.3	0	0
AC006159.4	0	0
AC006159.5	0	0
AC006160.5	0	0
AC006195.2	0	0
AC006196.1	0	0
AC006227.1	0	0
AC006262.10	0	0
AC006262.11	0	0
AC006262.4	0	0
AC006262.5	0	0
AC006272.1	0	0
AC006272.2	0	0
AC006273.4	0	0
AC006273.5	0	0
AC006277.2	0	0
AC006277.3	0	0
AC006288.1	0	0
AC006296.1	0	0
AC006296.2	0	0
AC006322.1	0	0
AC006326.3	0	0
AC006328.1	0	0
AC006328.2	0	0
AC006328.3	0	0
AC006328.4	0	0
AC006328.9	0	0
AC006335.10	0	0
AC006335.11	0	0
AC006335.2	0	0
AC006335.6	0	0
AC006355.3	0	0
AC006366.3	0	0
AC006369.2	16.3189	15.9003
AC006369.3	0	0
AC006371.1	0	0
AC006372.4	0	0
AC006372.5	0	0
AC006372.6	0	0
AC006373.1	0	0
AC006377.1	0	0
AC006378.2	0	0
AC006380.1	0	0
AC006380.3	0	0
AC006386.1	6.66271	0
AC006390.4	0	0
AC006427.2	0	0
AC006445.1	0	0
AC006445.6	0	0
AC006445.7	0	0
AC006449.2	86.687	97.0817
AC006452.1	0	0
AC006452.2	0	0
AC006458.3	0	0
AC006460.2	0	0
AC006461.1	0	0
AC006461.2	0	0
AC006466.5	0	0
AC006478.1	0	0
AC006480.1	0	0
AC006482.1	0	0
AC006483.1	3112.99	4915.43
AC006483.5	0	0
AC006486.10	0	0
AC006486.9	1.90067	23.3577
AC006487.1	0	0
AC006499.1	0	0
AC006499.2	0	0
AC006499.3	0	0
AC006499.4	0	0
AC006499.5	0	0
AC006499.6	0	0
AC006499.7	0	0
AC006499.9	0	0
AC006509.4	0	0
AC006509.7	0	0
AC006534.1	0	0
AC006534.2	5.45586	21.2665
AC006534.3	323.482	855.828
AC006538.1	0	0
AC006538.4	0	0
AC006538.8	0	0
AC006539.1	0	0
AC006539.2	0	0
AC006539.3	10.4144	10.1473
AC006539.6	0	0
AC006547.13	26.53284	31.45063
AC006547.15	18.2278	13.8365
AC006547.8	0	0
AC006548.19	0	0
AC006548.26	0	0
AC006548.28	0.802375	0.853983
AC006552.1	0	0
AC006557.1	0	0
AC006840.1	0	0
AC006925.1	0	0
AC006926.1	0	0
AC006942.4	6.05074	0
AC006946.12	0	0
AC006946.15	0	0
AC006946.16	0	0
AC006946.17	0	0
AC006947.1	0	0
AC006960.5	0	0
AC006960.7	0	0
AC006978.6	1.87661	0
AC006987.4	0	0
AC006987.5	0	0
AC006987.6	0	0
AC006988.1	0	0
AC006989.2	0	0
AC006994.1	0	0
AC006994.2	0	0
AC006994.3	0	0
AC007000.10	0	0
AC007000.11	0	0
AC007003.1	0	0
AC007006.1	0	0
AC007009.1	0	0
AC007009.2	0	0
AC007016.3	0	0
AC007036.4	0	0
AC007036.5	0	0
AC007036.6	0	0
AC007038.7	0	0
AC007040.1	0	0
AC007040.11	4.94606	12.0912
AC007040.2	0	0
AC007040.3	0	0
AC007040.6	0	0
AC007040.8	0	0
AC007041.1	0	0
AC007041.2	0	0
AC007050.1	0	0
AC007050.17	0	0
AC007056.1	0	0
AC007064.22	0	0
AC007064.24	0	0
AC007064.25	0	0
AC007078.4	0	0
AC007091.1	0	0
AC007096.1	0	0
AC007098.1	0	0
AC007099.1	0	0
AC007099.2	0	0
AC007106.1	0	0
AC007115.3	0	0
AC007126.1	0	0
AC007128.1	0	0
AC007131.1	0	0
AC007131.2	0	0
AC007131.3	0	0
AC007136.1	0	0
AC007161.5	0	0
AC007163.1	0	0
AC007163.2	0	0
AC007163.3	0	0
AC007163.6	0	0
AC007179.1	0	0
AC007179.2	0	0
AC007182.6	0	0
AC007191.4	2.78473	2.7074
AC007192.4	0	0
AC007192.6	1.81681	1.04347
AC007193.10	0	0
AC007193.6	0	0
AC007193.8	173.419	168.971
AC007193.9	0	0
AC007204.2	0	0
AC007204.3	0	0
AC007216.1	0	0
AC007224.1	0	0
AC007228.11	0	0
AC007228.5	0	0
AC007228.8	0	0
AC007228.9	0	0
AC007229.3	0	0
AC007237.2	0	0
AC007238.1	0	0
AC007241.1	0	0
AC007242.1	0	0
AC007246.3	0	0
AC007249.3	0	0
AC007250.4	3.16333	6.1644
AC007251.2	0	0
AC007253.1	0	0
AC007255.8	0	0
AC007256.5	0	0
AC007271.3	0	0
AC007272.3	0	0
AC007274.2	0	0
AC007274.5	0	0
AC007277.3	0	0
AC007278.2	0	0
AC007278.3	8.60943	10.0663
AC007279.1	0	0
AC007279.2	0	0
AC007283.4	0	0
AC007283.5	35.2713	33.9456
AC007285.1	0	0
AC007285.6	0	0
AC007285.7	0	0
AC007292.3	2.40829	2.34652
AC007292.4	0	0
AC007292.6	5.94066	1.82179
AC007292.7	0	0
AC007304.1	0	0
AC007308.7	0	0
AC007312.3	0	0
AC007317.1	0	0
AC007318.5	0	0
AC007319.1	0	0
AC007322.1	0	0
AC007322.3	0	0
AC007322.5	0	0
AC007322.7	0	0
AC007326.1	0	0
AC007326.10	0	0
AC007326.9	0	0
AC007327.5	0	0
AC007327.6	0	0
AC007333.1	0	0
AC007339.1	0	0
AC007339.2	0	0
AC007347.1	83.0652	0
AC007349.4	0	0
AC007349.5	0	0
AC007349.7	0	0
AC007358.1	0	0
AC007359.6	0	0
AC007362.3	0	0
AC007364.1	0	0
AC007365.1	0	0
AC007365.2	0	0
AC007365.3	0	0
AC007365.4	0	0
AC007367.1	0	0
AC007375.1	0	0
AC007381.1	0	0
AC007381.3	0	0
AC007383.3	0	0
AC007383.4	5.43933	3.71073
AC007383.6	0	0
AC007384.1	0	0
AC007386.2	0	0
AC007386.3	0	0
AC007386.4	0	0
AC007387.2	0	0
AC007389.1	0	0
AC007389.2	0	0
AC007389.3	0	0
AC007389.4	0	0
AC007390.4	0	0
AC007391.2	0	0
AC007392.3	0	0
AC007392.4	0	0
AC007394.3	0	0
AC007395.3	0	0
AC007395.4	0	0
AC007402.1	0	0
AC007403.1	0	0
AC007403.2	0	0
AC007403.3	0	0
AC007405.4	1.01679	2.02104
AC007405.6	0	0
AC007405.8	0	0
AC007422.1	0	0
AC007435.1	0	0
AC007436.1	0	0
AC007450.1	0	0
AC007461.2	0	0
AC007463.2	0	0
AC007486.1	0	0
AC007511.1	0	0
AC007528.1	0	0
AC007528.2	0	0
AC007535.1	0	0
AC007551.1	0	0
AC007551.2	0	0
AC007556.3	0	0
AC007557.1	0	0
AC007557.2	0	0
AC007557.3	0	0
AC007557.4	0	0
AC007557.5	0	0
AC007559.1	0	0
AC007560.1	5.0219	25.5964
AC007560.2	0	0
AC007562.1	0	0
AC007563.1	0	0
AC007563.3	0	0
AC007563.4	0	0
AC007563.5	0	0
AC007566.10	0	0
AC007567.1	0	0
AC007568.1	0	0
AC007611.1	0	0
AC007618.3	0	0
AC007620.3	0	0
AC007631.1	0	0
AC007652.1	0	0
AC007677.2	0	0
AC007679.1	0	0
AC007679.3	10.4403	10.1726
AC007679.4	0	0
AC007682.1	0	0
AC007682.2	0	0
AC007682.3	0	0
AC007682.4	0	0
AC007731.1	0	0
AC007731.2	0	0
AC007740.1	0	0
AC007742.3	0	0
AC007743.1	2.8464	3.09213
AC007750.1	0	0
AC007750.5	0	0
AC007773.1	0	0
AC007773.2	0	0
AC007787.2	0	0
AC007787.3	0	0
AC007790.4	0	0
AC007792.1	0	0
AC007795.1	0	0
AC007796.1	0	0
AC007842.1	0	0
AC007875.2	0	0
AC007879.1	0	0
AC007879.2	0	0
AC007879.3	0	0
AC007879.4	0	0
AC007879.5	0	0
AC007879.6	0	0
AC007879.7	0	0
AC007880.1	0	0
AC007880.2	0	0
AC007881.1	0	0
AC007881.4	0	0
AC007899.3	0	0
AC007906.1	0	0
AC007919.1	0	0
AC007919.18	0	0
AC007919.19	0	0
AC007919.2	0	0
AC007948.1	0	0
AC007950.1	0	0
AC007950.2	0	0
AC007952.4	2.8272	0
AC007952.5	2.25585	2.19799
AC007952.6	0	0
AC007966.1	0	0
AC007967.2	0	0
AC007967.3	0	0
AC007967.4	0	0
AC007969.4	0	0
AC007969.5	0	0
AC007998.1	0	0
AC008041.1	0	0
AC008045.1	0	0
AC008060.1	0	0
AC008060.5	0	0
AC008060.7	0	0
AC008060.8	0	0
AC008063.2	0	0
AC008063.3	0	0
AC008065.1	0	0
AC008067.2	0	0
AC008069.1	0	0
AC008069.2	0	0
AC008072.1	0	0
AC008073.7	0	0
AC008073.9	0	0
AC008074.1	12.2843	9.13134
AC008074.3	3.70666	7.22317
