feature	sample	value
B_cells_memory	TCGA-22-1016	0
B_cells_memory	TCGA-22-1017	0
B_cells_memory	TCGA-22-4591	0.0476446521921668
B_cells_memory	TCGA-22-4593	0
B_cells_memory	TCGA-22-4594	0.0164487256057216
B_cells_memory	TCGA-22-4595	0
B_cells_memory	TCGA-22-4596	0
B_cells_memory	TCGA-22-4599	0
B_cells_memory	TCGA-22-4601	0
B_cells_memory	TCGA-22-4604	0
B_cells_memory	TCGA-22-4605	0.00318385660717489
B_cells_memory	TCGA-22-4607	0
B_cells_memory	TCGA-22-4609	0
B_cells_memory	TCGA-22-4613	0
B_cells_memory	TCGA-22-5471	0
B_cells_memory	TCGA-22-5472	0
B_cells_memory	TCGA-22-5473	0
B_cells_memory	TCGA-22-5474	0
B_cells_memory	TCGA-22-5477	0
B_cells_memory	TCGA-22-5478	0.0948293744534438
B_cells_memory	TCGA-22-5479	0
B_cells_memory	TCGA-22-5480	0
B_cells_memory	TCGA-22-5481	0
B_cells_memory	TCGA-22-5482	0
B_cells_memory	TCGA-22-5483	0
B_cells_memory	TCGA-22-5485	0.0441267394413565
B_cells_memory	TCGA-22-5489	0
B_cells_memory	TCGA-22-5491	0
B_cells_memory	TCGA-22-5492	0
B_cells_memory	TCGA-22-A5C4	0.0377468686978584
B_cells_memory	TCGA-23-1023	0.0084924775088948
B_cells_memory	TCGA-23-1026	0.024101912428300402
B_cells_memory	TCGA-23-1027	0.0312314012060049
B_cells_memory	TCGA-23-1029	0.0721581996855035
B_cells_memory	TCGA-23-1109	0.00138416633858856
B_cells_memory	TCGA-23-1111	0.0730170224940957
B_cells_memory	TCGA-23-1114	0.071133724073463
B_cells_memory	TCGA-23-1120	0.057329190916247
B_cells_memory	TCGA-23-1122	0.0737796795563756
B_cells_memory	TCGA-23-1123	0.0501149552424411
B_cells_memory	TCGA-23-1809	0.0743206928470359
B_cells_memory	TCGA-23-2077	0.0793028051424003
B_cells_memory	TCGA-23-2078	0
B_cells_memory	TCGA-23-2081	0.0015004541959674
B_cells_memory	TCGA-23-2084	0.0178458636463163
